,time,0,1,2,3,4,5,6,7
pcs,1958-01-01 00:00:00,-1.3222675362595104,-0.30555113486111674,-1.535293539070376,0.18495420305269517,-0.17480983751516782,0.37428737181947846,-1.4978131170279334,0.4915685551199745
pcs,1959-01-01 00:00:00,-1.6268039520642852,0.669400868346457,-1.0423655789103579,0.3981863993473241,-1.065401899369212,0.634373551245105,-0.6383020312345986,0.4534174893270676
pcs,1960-01-01 00:00:00,-1.350693964966132,-0.7762950034004044,-1.3551993934113862,-0.760187527424144,1.1130160729145961,0.023698638910961047,0.4015432321458474,-0.07968104841052011
pcs,1961-01-01 00:00:00,-1.1067919561807689,-0.004805657329582099,0.1075913362043463,-0.3824555445178168,-1.3852741393221033,-0.4757894975062359,-1.5590295688395572,-0.3545316645961253
pcs,1962-01-01 00:00:00,-0.3524303988720095,-1.134867597997801,0.38359994063483077,0.14464150838593934,1.9313819277314117,-0.6089951212099676,1.7621026262428883,0.904104544425126
pcs,1963-01-01 00:00:00,-1.5071858570306982,0.2741632295920449,-0.01343911458149874,0.8636621296588359,0.601350612808354,-0.5004582753532578,-1.0885522204398639,0.5830264091758008
pcs,1964-01-01 00:00:00,-1.1510847779850062,2.2644791005278564,-0.850442704617585,-0.12597067896942593,2.402605937072789,-0.27962996888304226,0.1791626821417813,-0.5827470770129556
pcs,1965-01-01 00:00:00,-1.4545111941457889,-0.4799532910693156,0.16601938761451407,-0.3970425863118158,1.6113993724803997,-1.2010261878084918,-0.5762165080595611,-0.5451174014526576
pcs,1966-01-01 00:00:00,-1.2095854397592858,0.7806581990995012,0.010789109556246141,-0.19096371699112297,-0.10535228466088514,0.5414204594450385,-0.40640011415937227,0.11305720189073735
pcs,1967-01-01 00:00:00,-0.7897909373974669,0.8972456441903641,0.4209115623550811,-0.47452454946567096,-0.2265699568098856,-0.06743710593745698,0.4135607235446536,-0.4191155380715423
pcs,1968-01-01 00:00:00,0.45716500163738244,-0.38882378519868777,-1.299654530175012,0.6394706351479542,1.7178148084472638,-0.44307640317785835,-0.7922679654526931,-1.4049831352883235
pcs,1969-01-01 00:00:00,-0.8135445057818953,-0.005577386267438224,-1.0535463776849154,0.6395891830417233,1.4125000068052875,0.9320865873192252,0.1511151011471992,-1.0407323803582116
pcs,1970-01-01 00:00:00,-0.9260798540514802,0.24507707168536177,0.8659487257635878,-0.4149247803448114,0.6564599561124447,0.0963909733456231,-1.2170158333279686,-0.8316614193254599
pcs,1971-01-01 00:00:00,-0.9741784932398303,-0.6555877882284826,2.0756345090357518,-3.4547486374977763,-0.5442131411772007,0.759339435709032,1.183683270767932,-1.59019145475912
pcs,1972-01-01 00:00:00,-0.9877713183396517,1.9628331251531612,0.05973123361794369,-1.0641393671670607,0.9169780612972946,0.2462581620605156,1.524774646413017,-1.1343066841197098
pcs,1973-01-01 00:00:00,-0.5337836012397238,0.049525253828287055,-0.7267359043933007,0.08197276973330024,-1.5858618537209004,-0.03209613995706397,-0.10829215842326864,0.15755016383873027
pcs,1974-01-01 00:00:00,-0.9411856352365746,-0.8013673271873619,0.845909684036098,-1.011698167371816,-1.6935297230691262,-0.8484732292044559,-1.5791193126072396,-0.09886203588045181
pcs,1975-01-01 00:00:00,-0.5954162502882372,-0.12590891200091744,-0.11466265973038148,0.1743420244066661,0.04975646585111066,-0.3296673773914808,0.3977944295292278,-1.9993182342113758
pcs,1976-01-01 00:00:00,-1.6256785135037475,-0.25567417589283575,0.190265726713239,0.6015964798817692,0.11831856064821988,-0.9205148844454665,-1.0436904316324362,0.88855203091118
pcs,1977-01-01 00:00:00,-0.35683711093120013,-1.2443708917954717,-1.5353352935135762,-0.5100501635276131,-0.3819828186957545,-0.048919876323278655,0.004368087301731938,-2.1965005667586452
pcs,1978-01-01 00:00:00,-0.489130093433463,-1.6310288305099334,-0.6749713666114229,-0.5835529288137428,0.19230580671250125,-0.14040016804163627,-0.2250662781457826,-0.3810626061156706
pcs,1979-01-01 00:00:00,-0.2516291641570664,-0.48718850317700624,-0.6830498749178524,0.063836908859234,-0.1129782163121918,0.22331718243863727,-0.3278212315722878,0.9115094678870214
pcs,1980-01-01 00:00:00,1.0716459178932918,2.5329772360257286,-2.511536468845823,-1.843657880074022,-1.7269210405288757,-3.6370939264842557,1.7596710954074632,1.4525584687207587
pcs,1981-01-01 00:00:00,0.5739894804524557,-0.6550209044529139,-1.0522231992410007,-1.8364876615977084,-1.7406201930319838,0.7984671644199648,0.5943789353293003,-0.10789916774710814
pcs,1982-01-01 00:00:00,-0.09001230197927697,-1.054917250654521,-1.3840527110952308,-0.08684827108759076,0.4275193431241513,0.665549003005489,1.3293423243415734,-0.6710175171589804
pcs,1983-01-01 00:00:00,-0.16950514710201148,-0.14566299629448307,0.13251680423641465,0.3952558190473068,-0.165598420411172,1.0223504501771157,0.05495873723371725,0.08958968459179133
pcs,1984-01-01 00:00:00,-0.18057651817864717,-0.38350100117954605,0.7536024657270571,-0.8781467812283298,-1.3042017151431673,-0.2764847620432394,1.663959965022532,0.5852612083159803
pcs,1985-01-01 00:00:00,0.8691203122144053,-0.5354309084314234,-0.12326784451702742,-0.6497623976666571,-0.7171274260036181,0.9231220910390493,1.2861334182498945,-0.31535838555428486
pcs,1986-01-01 00:00:00,0.48190327634677677,-1.0863474490041831,-1.5091730097532536,-0.7491677054088354,-1.1579920238987953,-0.14624006255620173,0.5211130310312395,-0.6105555993825602
