,time,0,1,2,3,4,5,6,7
pcs,1958-01-01 00:00:00,-2.2699370720227314,-0.5563721637614826,1.1468424680998228,-0.17594518452126306,0.9685810462708158,-0.2047348160100061,0.9399968364359872,-1.484111522768817
pcs,1959-01-01 00:00:00,-2.3265407999842838,-0.472893393347303,1.4661406698307686,1.537016672436348,0.2873860205019493,0.15318855634360315,0.32926673138284873,-1.5106540353804405
pcs,1960-01-01 00:00:00,-1.4817554478285562,-0.5700566679397128,-1.452507191309308,-0.1048917932382891,0.15223974602347493,-0.6729943417271322,-1.4443557873190003,0.8076113583185024
pcs,1961-01-01 00:00:00,-0.9800709410631672,-1.5832923129351564,1.017627563503034,1.3666811977580142,1.7258117057297582,0.22384477071501935,-0.35406911015578435,-0.5498743648950468
pcs,1962-01-01 00:00:00,-0.5864536011629885,0.85935668472611,-1.7324927005724435,0.6065115029858025,0.08685150283585268,-2.1840646239167314,-1.6735546807286057,0.4096433849708577
pcs,1963-01-01 00:00:00,-0.9119328599171481,-0.016501307577157114,-0.15287653315518815,0.5805481542367189,0.7545945516000575,-0.1304860861508444,-0.43483329921700603,0.9583387146990227
pcs,1964-01-01 00:00:00,-3.0125611834423913,-1.2552734541516162,-0.9133927429381968,-2.2613700592081534,2.7919599180607175,-0.3020778184082668,0.09886359562735418,-0.786545906301983
pcs,1965-01-01 00:00:00,-0.7698045511015512,0.159712989353137,-0.48074320866117687,-0.09763136622561608,0.22804206299594987,-0.3208914516904009,-0.5453505061811356,0.9448024147126456
pcs,1966-01-01 00:00:00,-0.26769169088721156,-0.16274470798918142,0.3404702778586318,1.7101900778052321,-0.2714858655294779,-0.004416685404153698,-0.10219445381395105,1.6875191729890702
pcs,1967-01-01 00:00:00,-0.2621403357698784,-0.7871576336555458,0.08338575240613168,0.961721182469967,-0.7229890816307976,-0.16267699458358606,0.3558137842461078,-0.5108843816879476
pcs,1968-01-01 00:00:00,0.24680310353379487,0.1528949835454945,0.36709228980051806,-0.9221095470094999,1.2193880962617827,-1.2868024892267664,-2.2050951727017716,0.7708227335016552
pcs,1969-01-01 00:00:00,-1.0714148072705554,2.3215088883241015,2.010480267906682,0.8447551603396404,0.6814078572985512,-0.1934718958908226,1.5500814479475853,0.43778428286418763
pcs,1970-01-01 00:00:00,0.4253437772288307,-0.6529676939938506,-0.9923709240404884,0.8826568487286642,0.15160096645983204,-0.09807673302005537,0.37640474467196616,-0.38502155742991806
pcs,1971-01-01 00:00:00,-0.6752198236879299,-1.046040643923298,0.15480770522652998,-1.2312809298891845,-0.06890522551127373,0.7383844765264284,-0.3063424841446898,-0.11987537994528301
pcs,1972-01-01 00:00:00,-0.4494785533492149,-1.548099302680447,-0.0490221453822771,0.7068807924877233,-0.04193055865638928,-1.4357796889220091,0.127564398006389,0.3856156449416393
pcs,1973-01-01 00:00:00,-0.016836207936752966,-0.8187034369257997,0.37183695544567585,1.5807483261788124,-0.48158138504963643,0.1678057491993077,-0.3042051256025603,0.435716623188399
pcs,1974-01-01 00:00:00,0.518777716489931,-0.18404370595983652,0.6421518446814986,0.5611311421270889,-0.20533821909196792,2.6438738550314342,0.06384907691793543,0.9338613564134693
pcs,1975-01-01 00:00:00,-0.2733656677428396,0.41889037993151845,1.145186983112215,0.5492321365725759,0.4838191989009119,-0.2588377715184119,-0.7986617925587177,0.6595311343449872
pcs,1976-01-01 00:00:00,-1.5628431638788216,0.7011827367426248,0.7639334456855883,0.7404978058687319,-0.03139406790466521,0.671447208330539,-0.25218466147618634,1.9694991179794283
pcs,1977-01-01 00:00:00,-0.3096505538719214,1.3947987137621551,0.977669022500623,-0.5761076217624103,-0.14504732839619264,-0.4819423035518088,0.15265801627573058,-0.45048756931103634
pcs,1978-01-01 00:00:00,0.002746193833410421,0.9797605873138924,0.19366859461488647,-0.377316033025754,0.115637399061333,-0.09850944552808244,-0.6867343732998165,0.019265389896641325
pcs,1979-01-01 00:00:00,-0.47570156670618824,-0.5790685477027419,-0.8972435786387687,-0.4944921424405103,-0.3625072436019971,-0.3745613510251832,-0.18996792680674673,0.08261531056397163
pcs,1980-01-01 00:00:00,-0.08628657011217186,-2.216519891324567,2.9275683860322057,-4.126139811339833,-3.5244807952536177,-0.1056944237415231,-1.7785207577270201,-0.7483938627821138
pcs,1981-01-01 00:00:00,0.7979565262584459,0.0835820665233641,1.4530016406996153,-0.155661047919265,-0.7640247742422619,-0.0973129065052172,-0.8296947708954513,0.06395798474547787
pcs,1982-01-01 00:00:00,-1.34755827432967,2.428992135119411,0.18903376101669733,-0.8882831359445295,-1.5247383058015436,-0.7118962838042808,-0.29323787326886747,-0.7252971853365905
pcs,1983-01-01 00:00:00,0.23739717540566463,0.49601243792172917,-0.5883707748370359,0.7679917308382928,-0.43913317789924977,0.0023860301348759168,0.2709257615148462,-0.9474598609558151
pcs,1984-01-01 00:00:00,0.0929771665692457,-0.4670317931378333,0.3712795832768767,0.3204192934916783,-0.7407389505708656,1.2254250685220263,0.37015960023817746,1.6043188812126408
pcs,1985-01-01 00:00:00,0.486554942382235,0.8976201820286263,-1.0640944985782617,-0.0007214913032180819,-0.7059988536848533,0.7360382640277575,-0.6332311721719767,-0.37915354528561224
pcs,1986-01-01 00:00:00,0.09530894794144282,-0.474081820316923,0.741239915042458,-0.6851278518486521,0.5129370852987027,-0.3303990042062927,0.19543304810060597,0.42399443482224075
pcs,1987-01-01 00:00:00,0.4522746536349708,-0.2090180381060037,0.017823943809902574,1.3143616468875843,-0.6005310298341183,-1.0982246014650097,-0.824369828823032,-0.12990724383659194
